,data,hora,time_casa,time_visitante,casa_ganha,empate,visitante_ganha,maisq,menosq,simodd,nãoodd
205,1900-01-31,16:45,Salford City,Walsall FC,2.32,3.2,3.05,2.2,1.62,1.91,1.8
206,1900-01-31,16:45,Carlisle United,Barrow FC,2.15,3.15,3.45,2.3,1.57,2.0,1.72
207,1900-01-31,16:45,Crewe Alexandra,Stockport County,4.9,3.85,1.65,2.02,1.75,2.02,1.72
208,1900-02-04,09:45,Newport County,Swindon,2.5,3.15,2.82,2.05,1.72,1.78,1.93
209,1900-02-04,12:00,Gillingham FC,Crawley Town,2.12,3.2,3.55,2.25,1.6,1.98,1.75
210,1900-02-04,12:00,Colchester United,Barrow FC,2.65,3.2,2.65,2.15,1.65,1.85,1.87
211,1900-02-04,12:00,Crewe Alexandra,Grimsby Town,3.05,3.3,2.27,2.02,1.75,1.78,1.93
212,1900-02-04,12:00,Doncaster,Hartlepool United,1.95,3.5,3.7,1.95,1.8,1.8,1.91
213,1900-02-04,12:00,Leyton Orient,AFC Wimbledon,1.83,3.45,4.25,2.25,1.6,2.1,1.65
214,1900-02-04,12:00,Carlisle United,Harrogate Town,1.78,3.6,4.4,1.93,1.82,1.83,1.87
215,1900-02-04,12:00,Bradford City,Mansfield Town,2.55,3.15,2.77,2.07,1.7,1.8,1.91
216,1900-02-04,12:00,Northampton Town,Walsall FC,2.02,3.25,3.7,2.15,1.65,1.93,1.78
217,1900-02-04,12:00,Salford City,Rochdale AFC,2.0,3.35,3.75,2.07,1.7,1.87,1.83
218,1900-02-04,12:00,Stockport County,Tranmere,1.6,3.65,5.8,2.15,1.65,2.12,1.65
219,1900-02-04,12:00,Sutton United,Stevenage Borough,3.25,3.15,2.25,2.2,1.62,1.9,1.8
220,1900-02-07,16:45,Crewe Alexandra,Leyton Orient,3.95,3.25,1.98,2.25,1.6,2.0,1.72
221,1900-02-07,16:45,Grimsby Town,Harrogate Town,1.91,3.5,3.8,1.87,1.87,1.75,1.98
222,1900-02-21,17:00,Plymouth Argyle,Cheltenham,1.5,4.35,5.8,1.7,2.07,1.82,1.88
223,1900-02-22,17:00,Accrington Stanley,Bolton,3.35,3.65,2.02,1.8,1.95,1.7,2.05
224,1900-01-31,16:45,Aldershot Town,Boreham Wood,3.15,3.3,2.22,2.02,1.75,1.78,1.93
225,1900-01-31,16:45,Solihull Moors,Notts County,5.1,4.25,1.57,1.6,2.27,1.65,2.1
226,1900-01-31,16:45,Woking FC,Torquay United,1.47,4.4,6.3,1.7,2.07,1.87,1.85
